ID,REF_DATE,GEO,NHPI,VALUE,,,
1,1981-01-01,Canada,Total (house and land),38.2,,,
2,1981-01-01,Canada,House only,36.1,,,
3,1981-01-01,Canada,Land only,40.6,,,
4,1981-01-01,Atlantic Region,Total (house and land),0,,,
5,1981-01-01,Atlantic Region,House only,0,,,
6,1981-01-01,Atlantic Region,Land only,0,,,
7,1981-01-01,Newfoundland and Labrador,Total (house and land),0,,,
8,1981-01-01,Newfoundland and Labrador,House only,0,,,
9,1981-01-01,Newfoundland and Labrador,Land only,0,,,
10,1981-01-01,St. John's: Newfoundland and Labrador,Total (house and land),36.1,,,
11,1981-01-01,St. John's: Newfoundland and Labrador,House only,37.5,,,
12,1981-01-01,St. John's: Newfoundland and Labrador,Land only,31.4,,,
13,1981-01-01,Prince Edward Island,Total (house and land),0,,,
14,1981-01-01,Prince Edward Island,House only,0,,,
15,1981-01-01,Prince Edward Island,Land only,0,,,
16,1981-01-01,Charlottetown: Prince Edward Island,Total (house and land),0,,,
17,1981-01-01,Charlottetown: Prince Edward Island,House only,0,,,
18,1981-01-01,Charlottetown: Prince Edward Island,Land only,0,,,
19,1981-01-01,Nova Scotia,Total (house and land),0,,,
20,1981-01-01,Nova Scotia,House only,0,,,
21,1981-01-01,Nova Scotia,Land only,0,,,
22,1981-01-01,Halifax: Nova Scotia,Total (house and land),0,,,
23,1981-01-01,Halifax: Nova Scotia,House only,0,,,
24,1981-01-01,Halifax: Nova Scotia,Land only,32.5,,,
25,1981-01-01,New Brunswick,Total (house and land),0,,,
26,1981-01-01,New Brunswick,House only,0,,,
27,1981-01-01,New Brunswick,Land only,0,,,
28,1981-01-01,Saint John: Fredericton: and Moncton: New Brunswick,Total (house and land),55.9,,,
29,1981-01-01,Saint John: Fredericton: and Moncton: New Brunswick,House only,61.4,,,
30,1981-01-01,Saint John: Fredericton: and Moncton: New Brunswick,Land only,38,,,
31,1981-01-01,Quebec,Total (house and land),0,,,
32,1981-01-01,Quebec,House only,0,,,
33,1981-01-01,Quebec,Land only,0,,,
34,1981-01-01,Quebec: Quebec,Total (house and land),30.1,,,
35,1981-01-01,Quebec: Quebec,House only,34.9,,,
36,1981-01-01,Quebec: Quebec,Land only,19.8,,,
37,1981-01-01,Sherbrooke: Quebec,Total (house and land),0,,,
38,1981-01-01,Sherbrooke: Quebec,House only,0,,,
39,1981-01-01,Sherbrooke: Quebec,Land only,0,,,
40,1981-01-01,Trois-Rivieres: Quebec,Total (house and land),0,,,
41,1981-01-01,Trois-Rivieres: Quebec,House only,0,,,
42,1981-01-01,Trois-Rivieres: Quebec,Land only,0,,,
43,1981-01-01,Montreal: Quebec,Total (house and land),28.5,,,
44,1981-01-01,Montreal: Quebec,House only,30,,,
45,1981-01-01,Montreal: Quebec,Land only,20.3,,,
46,1981-01-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Total (house and land),0,,,
47,1981-01-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,House only,0,,,
48,1981-01-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Land only,0,,,
49,1981-01-01,Ontario,Total (house and land),0,,,
50,1981-01-01,Ontario,House only,0,,,
51,1981-01-01,Ontario,Land only,0,,,
52,1981-01-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Total (house and land),32.6,,,
